site,cellname,subcell,cell_subcell,data_users,radius_s,radius_e,lat,long,beamwidth,azimuth
1002A,1002A_2,SC06,1002A_2_SC06,0.089607694,2106,2562,3.234507,101.661725,65,130
1002A,1002A_2,SC07,1002A_2_SC07,0.386416361,2562,3120,3.234507,101.661725,65,130
1002A,1002A_2,SC08,1002A_2_SC08,0.094182261,3120,3900,3.234507,101.661725,65,130
1002A,1002A_2,SC09,1002A_2_SC09,0.04631749,3900,6318,3.234507,101.661725,65,130
1002A,1002A_3,SC01,1002A_3_SC01,1.651836657,0,234,3.234507,101.661725,65,270
1002A,1002A_3,SC02,1002A_3_SC02,4.652242679,234,546,3.234507,101.661725,65,270
1002A,1002A_3,SC03,1002A_3_SC03,15.65933404,546,1014,3.234507,101.661725,65,270
1002A,1002A_3,SC04,1002A_3_SC04,8.525791511,1014,1560,3.234507,101.661725,65,270
1002A,1002A_3,SC05,1002A_3_SC05,0.913709869,1560,2106,3.234507,101.661725,65,270
1002A,1002A_3,SC06,1002A_3_SC06,0.221683583,2106,2562,3.234507,101.661725,65,270
1002A,1002A_3,SC07,1002A_3_SC07,0.06757718,2562,3120,3.234507,101.661725,65,270
1002A,1002A_3,SC08,1002A_3_SC08,0.054262331,3120,3900,3.234507,101.661725,65,270
1002A,1002A_3,SC09,1002A_3_SC09,0.003562154,3900,6318,3.234507,101.661725,65,270
1002B,1002B_1,SC01,1002B_1_SC01,21.53162658,0,234,3.14474,101.715209,65,50
1002B,1002B_1,SC02,1002B_1_SC02,47.38801791,234,546,3.14474,101.715209,65,50
1002B,1002B_1,SC03,1002B_1_SC03,9.879460732,546,1014,3.14474,101.715209,65,50
1002B,1002B_1,SC04,1002B_1_SC04,2.335554203,1014,1560,3.14474,101.715209,65,50
1002B,1002B_1,SC05,1002B_1_SC05,0.095961309,1560,2106,3.14474,101.715209,65,50
1002B,1002B_1,SC06,1002B_1_SC06,0.245921185,2106,2562,3.14474,101.715209,65,50
1002B,1002B_1,SC07,1002B_1_SC07,0.574977858,2562,3120,3.14474,101.715209,65,50
1002B,1002B_1,SC08,1002B_1_SC08,0.31739261,3120,3900,3.14474,101.715209,65,50
1002B,1002B_1,SC09,1002B_1_SC09,0.006087618,3900,6318,3.14474,101.715209,65,50
1002B,1002B_2,SC01,1002B_2_SC01,7.07653602,0,234,3.14474,101.715209,65,120
1002B,1002B_2,SC02,1002B_2_SC02,20.47749533,234,546,3.14474,101.715209,65,120
1002B,1002B_2,SC03,1002B_2_SC03,9.575826559,546,1014,3.14474,101.715209,65,120
1002B,1002B_2,SC04,1002B_2_SC04,0.755385462,1014,1560,3.14474,101.715209,65,120
1002B,1002B_2,SC05,1002B_2_SC05,0.139610973,1560,2106,3.14474,101.715209,65,120
1002B,1002B_2,SC06,1002B_2_SC06,0.078545611,2106,2562,3.14474,101.715209,65,120
1002B,1002B_2,SC07,1002B_2_SC07,0.008855633,2562,3120,3.14474,101.715209,65,120
1002B,1002B_2,SC08,1002B_2_SC08,0.012513394,3120,3900,3.14474,101.715209,65,120
1002B,1002B_2,SC09,1002B_2_SC09,0.000231017,3900,6318,3.14474,101.715209,65,120
1002B,1002B_3,SC01,1002B_3_SC01,30.11759898,0,234,3.14474,101.715209,65,270
1002B,1002B_3,SC02,1002B_3_SC02,32.19529088,234,546,3.14474,101.715209,65,270
1002B,1002B_3,SC03,1002B_3_SC03,3.519038251,546,1014,3.14474,101.715209,65,270
1002B,1002B_3,SC04,1002B_3_SC04,1.708630449,1014,1560,3.14474,101.715209,65,270
1002B,1002B_3,SC05,1002B_3_SC05,0.046355544,1560,2106,3.14474,101.715209,65,270
1002B,1002B_3,SC06,1002B_3_SC06,0.0137701,2106,2562,3.14474,101.715209,65,270
1002B,1002B_3,SC07,1002B_3_SC07,0.001555301,2562,3120,3.14474,101.715209,65,270
1002B,1002B_3,SC08,1002B_3_SC08,0.008079976,3120,3900,3.14474,101.715209,65,270
